Date,Open,High,Low,Close,Adj Close,Volume
2023-09-01,497.619995,498.000000,481.420013,485.089996,484.984650,46319100
2023-09-05,482.230011,488.510010,478.600006,485.480011,485.374573,38265300
2023-09-06,484.410004,485.489990,465.799988,470.609985,470.546539,46867000
2023-09-07,455.250000,463.440002,451.519989,462.410004,462.347656,43333000
2023-09-08,459.420013,466.059998,452.709991,455.720001,455.658569,47306900
2023-09-11,461.480011,461.630005,443.119995,451.779999,451.719086,47396600
2023-09-12,447.380005,456.730011,445.309998,448.700012,448.639496,34925600
2023-09-13,446.000000,459.299988,445.029999,454.850006,454.788696,39835500
2023-09-14,459.500000,459.869995,451.309998,455.809998,455.748535,37009700
2023-09-15,453.410004,455.989990,438.079987,439.000000,438.940796,50571300
2023-09-18,427.480011,442.420013,420.000000,439.660004,439.600708,50027100
2023-09-19,438.329987,439.660004,430.019989,435.200012,435.141327,37306400
2023-09-20,436.000000,439.029999,422.230011,422.390015,422.333069,36710800
2023-09-21,415.829987,421.000000,409.799988,410.170013,410.114716,44893000
2023-09-22,415.720001,421.149994,412.309998,416.100006,416.043884,47923600
2023-09-25,415.910004,425.359985,411.769989,422.220001,422.163086,41909100
2023-09-26,420.010010,428.200012,416.549988,419.109985,419.053497,40228200
2023-09-27,423.299988,428.720001,416.290009,424.679993,424.622742,44493500
2023-09-28,424.600006,434.459991,421.149994,430.890015,430.831940,42466300
2023-09-29,438.269989,441.440002,433.070007,434.989990,434.931335,39722100
2023-10-02,440.299988,451.750000,438.609985,447.820007,447.759644,43329800
2023-10-03,448.079987,451.299988,432.459991,435.170013,435.111328,47085000
2023-10-04,437.420013,441.429993,432.920013,440.410004,440.350616,36182100
2023-10-05,440.500000,449.000000,438.880005,446.880005,446.819763,39348300
2023-10-06,441.929993,457.890015,440.260010,457.619995,457.558319,43339700
2023-10-09,448.420013,456.049988,443.679993,452.730011,452.668976,40967500
2023-10-10,453.100006,462.589996,450.880005,457.980011,457.918274,36858200
2023-10-11,461.959991,468.589996,460.500000,468.059998,467.996918,37813700
2023-10-12,467.769989,476.089996,463.299988,469.450012,469.386719,48132500
2023-10-13,469.600006,471.160004,452.799988,454.609985,454.548676,47411500
2023-10-16,450.630005,462.250000,449.119995,460.950012,460.887878,37509900
2023-10-17,440.000000,447.540009,424.799988,439.380005,439.320770,81233300
2023-10-18,425.910004,432.190002,418.250000,421.959991,421.903076,62729400
2023-10-19,428.109985,432.970001,418.820007,421.010010,420.953247,50123300
2023-10-20,418.899994,424.700012,410.779999,413.869995,413.814209,47638100
2023-10-23,412.290009,432.480011,409.450012,429.750000,429.692047,47853000
2023-10-24,430.769989,436.970001,426.910004,436.630005,436.571136,40146300
2023-10-25,433.980011,436.500000,415.549988,417.790009,417.733673,39837900
2023-10-26,418.529999,422.559998,398.799988,403.260010,403.205627,54100100
2023-10-27,411.299988,412.059998,400.149994,405.000000,404.945404,41678400
2023-10-30,410.869995,417.660004,404.809998,411.609985,411.554474,38802800
2023-10-31,404.500000,408.790009,392.299988,407.799988,407.744995,51796900
2023-11-01,408.839996,423.809998,408.690002,423.250000,423.192932,43759300
2023-11-02,433.279999,438.839996,428.940002,435.059998,435.001343,40917200
2023-11-03,440.200012,453.089996,437.230011,450.049988,449.989288,42385500
2023-11-06,452.850006,459.350006,448.989990,457.510010,457.448334,40073300
2023-11-07,457.190002,462.179993,451.579987,459.549988,459.488037,34316500
2023-11-08,461.000000,468.670013,459.679993,465.739990,465.677185,34671900
2023-11-09,474.670013,482.299988,467.500000,469.500000,469.436676,54049600
2023-11-10,475.000000,484.720001,472.829987,483.350006,483.284851,42124500
2023-11-13,483.200012,491.160004,480.989990,486.200012,486.134460,38413600
2023-11-14,496.799988,498.339996,490.399994,496.559998,496.493042,41695400
2023-11-15,499.350006,499.600006,482.000000,488.880005,488.814117,47549700
2023-11-16,486.790009,495.250000,483.299988,494.799988,494.733307,33975600
2023-11-17,495.239990,497.170013,490.070007,492.980011,492.913544,32520500
2023-11-20,493.119995,505.480011,491.809998,504.089996,504.022034,41412000
2023-11-21,501.260010,505.170013,492.220001,499.440002,499.372650,56574700
2023-11-22,498.519989,503.350006,476.899994,487.160004,487.094330,89942000
2023-11-24,484.700012,489.209991,477.450012,477.760010,477.695618,29464500
2023-11-27,478.000000,485.299988,476.519989,482.420013,482.354980,39566200
2023-11-28,482.359985,483.230011,474.730011,478.209991,478.145508,40149100
2023-11-29,483.790009,487.619995,478.600006,481.399994,481.335083,38200500
2023-11-30,480.239990,481.100006,464.220001,467.700012,467.636963,52624700
2023-12-01,465.250000,472.000000,461.869995,467.649994,467.586945,36880900
2023-12-04,460.769989,460.769989,450.100006,455.100006,455.038666,43754300
2023-12-05,454.660004,466.000000,452.709991,465.660004,465.638153,37171800
2023-12-06,472.149994,473.869995,454.119995,455.029999,455.008667,38059000
2023-12-07,457.000000,466.290009,456.040009,465.959991,465.938141,35082300
2023-12-08,465.950012,477.410004,465.500000,475.059998,475.037720,35880300
2023-12-11,474.910004,475.309998,458.299988,466.269989,466.248108,50972800
2023-12-12,460.459991,476.660004,460.459991,476.570007,476.547638,37238700
2023-12-13,476.290009,485.940002,476.079987,480.880005,480.857452,44779200
2023-12-14,483.899994,486.700012,474.220001,483.500000,483.477325,39123200
2023-12-15,481.940002,494.040009,481.200012,488.899994,488.877075,47947800
2023-12-18,494.000000,504.329987,491.500000,500.769989,500.746490,41258700
2023-12-19,494.239990,497.000000,488.950012,496.040009,496.016754,46444400
2023-12-20,496.549988,499.989990,480.980011,481.109985,481.087402,39789400
2023-12-21,488.109985,490.950012,484.190002,489.899994,489.877014,30042500
2023-12-22,491.950012,493.829987,484.670013,488.299988,488.277069,25213900
2023-12-26,489.679993,496.000000,489.600006,492.790009,492.766907,24420000
2023-12-27,495.109985,496.799988,490.850006,494.170013,494.146820,23364800
2023-12-28,496.429993,498.839996,494.119995,495.220001,495.196777,24658700
2023-12-29,498.130005,499.970001,487.510010,495.220001,495.196777,38869000
2024-01-02,492.440002,492.950012,475.950012,481.679993,481.657410,41125400
2024-01-03,474.850006,481.839996,473.200012,475.690002,475.667694,32089600
2024-01-04,477.670013,485.000000,475.079987,479.980011,479.957489,30653500
2024-01-05,484.619995,495.470001,483.059998,490.970001,490.946960,41456800
2024-01-08,495.119995,522.750000,494.790009,522.530029,522.505493,64251000
2024-01-09,524.010010,543.250000,516.900024,531.400024,531.375122,77310000
2024-01-10,536.159973,546.000000,534.890015,543.500000,543.474487,53379600
2024-01-11,549.989990,553.460022,535.599976,548.219971,548.194275,59675900
2024-01-12,546.200012,549.700012,543.299988,547.099976,547.074341,35247900
2024-01-16,550.179993,568.349976,549.000000,563.820007,563.793579,44958000
2024-01-17,563.469971,564.710022,547.400024,560.530029,560.503723,47439400
2024-01-18,572.599976,576.000000,561.070007,571.070007,571.043213,49165000
2024-01-19,579.890015,595.000000,572.250000,594.909973,594.882080,54210300
2024-01-22,600.489990,603.309998,590.700012,596.539978,596.512024,45295500
2024-01-23,595.700012,599.099976,585.849976,598.729980,598.701904,29465400
2024-01-24,603.039978,628.489990,599.380005,613.619995,613.591187,56027100
2024-01-25,623.500000,627.190002,608.500000,616.169983,616.141052,48277700
2024-01-26,609.599976,617.830017,605.729980,610.309998,610.281372,39030900
2024-01-29,612.320007,624.890015,609.070007,624.650024,624.620728,34873300
2024-01-30,629.000000,634.929993,622.599976,627.739990,627.710571,41073500
2024-01-31,614.400024,622.690002,607.000000,615.270020,615.241150,45379500
2024-02-01,621.000000,631.909973,616.500000,630.270020,630.240479,36914600
2024-02-02,639.739990,666.000000,636.900024,661.599976,661.568970,47578000
2024-02-05,682.250000,694.969971,672.049988,693.320007,693.287476,68007800
2024-02-06,696.299988,697.539978,663.000000,682.229980,682.197998,68311100
2024-02-07,683.190002,702.200012,676.000000,700.989990,700.957092,49557500
2024-02-08,700.739990,707.940002,694.549988,696.409973,696.377319,41442200
2024-02-09,705.330017,721.849976,702.119995,721.330017,721.296204,43663700
2024-02-12,726.000000,746.109985,712.500000,722.479980,722.446106,61371000
2024-02-13,704.000000,734.500000,696.200012,721.280029,721.246216,60258000
2024-02-14,732.020020,742.359985,719.380005,739.000000,738.965332,50491700
2024-02-15,738.690002,739.750000,724.000000,726.580017,726.545959,42012200
2024-02-16,741.000000,744.020020,725.010010,726.130005,726.095947,49391800
2024-02-20,719.469971,719.559998,677.340027,694.520020,694.487427,70483300
2024-02-21,680.059998,688.880005,662.479980,674.719971,674.688293,69029800
